First Uniprot ID,First gene symbol,Trimmed first Uniprot ID,Trimmed first gene symbol,Protein,0_0 vs 12_0 log2FC,0_0 vs 12_0 adj.pvalue,0_0 vs 0_100 log2FC,0_0 vs 0_100 adj.pvalue,0_0 vs 12_100 log2FC,0_0 vs 12_100 adj.pvalue,Invasive vs Proliferative 0_0 log2FC,Invasive vs Proliferative 0_0 adj.pvalue,Invasive vs Proliferative 12_0 log2FC,Invasive vs Proliferative 12_0 adj.pvalue,Invasive vs Proliferative 0_100 log2FC,Invasive vs Proliferative 0_100 adj.pvalue,Invasive vs Proliferative 12_100 log2FC,Invasive vs Proliferative 12_100 adj.pvalue
Q8WXG6-3,NA,Q8WXG6,MADD,Q8WXG6-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXG6-4,NA,Q8WXG6,MADD,Q8WXG6-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXG6-5,NA,Q8WXG6,MADD,Q8WXG6-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXG6-6,NA,Q8WXG6,MADD,Q8WXG6-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXG6-7,NA,Q8WXG6,MADD,Q8WXG6-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXG6-8,NA,Q8WXG6,MADD,Q8WXG6-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXG8,S100Z,Q8WXG8,S100Z,Q8WXG8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXG9,ADGRV1,Q8WXG9,ADGRV1,Q8WXG9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXG9-2,NA,Q8WXG9,ADGRV1,Q8WXG9-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXG9-3,NA,Q8WXG9,ADGRV1,Q8WXG9-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXG9-4,NA,Q8WXG9,ADGRV1,Q8WXG9-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH0,SYNE2,Q8WXH0,SYNE2,Q8WXH0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH0-10,NA,Q8WXH0,SYNE2,Q8WXH0-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH0-11,NA,Q8WXH0,SYNE2,Q8WXH0-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH0-12,NA,Q8WXH0,SYNE2,Q8WXH0-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH0-13,NA,Q8WXH0,SYNE2,Q8WXH0-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH0-2,NA,Q8WXH0,SYNE2,Q8WXH0-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH0-3,NA,Q8WXH0,SYNE2,Q8WXH0-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH0-4,NA,Q8WXH0,SYNE2,Q8WXH0-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH0-5,NA,Q8WXH0,SYNE2,Q8WXH0-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH0-6,NA,Q8WXH0,SYNE2,Q8WXH0-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH0-7,NA,Q8WXH0,SYNE2,Q8WXH0-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH0-8,NA,Q8WXH0,SYNE2,Q8WXH0-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH0-9,NA,Q8WXH0,SYNE2,Q8WXH0-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH2,JPH3,Q8WXH2,JPH3,Q8WXH2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH2-2,NA,Q8WXH2,JPH3,Q8WXH2-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH4,ASB11,Q8WXH4,ASB11,Q8WXH4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH4-2,NA,Q8WXH4,ASB11,Q8WXH4-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH4-3,NA,Q8WXH4,ASB11,Q8WXH4-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH5,SOCS4,Q8WXH5,SOCS4,Q8WXH5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXH6,RAB40A,Q8WXH6,RAB40A,Q8WXH6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXI2,CNKSR2,Q8WXI2,CNKSR2,Q8WXI2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXI2-2,NA,Q8WXI2,CNKSR2,Q8WXI2-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXI2-4,NA,Q8WXI2,CNKSR2,Q8WXI2-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXI2-5,NA,Q8WXI2,CNKSR2,Q8WXI2-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXI3,ASB10,Q8WXI3,ASB10,Q8WXI3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXI3-2,NA,Q8WXI3,ASB10,Q8WXI3-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXI3-3,NA,Q8WXI3,ASB10,Q8WXI3-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
