pathway,pval,padj,log2err,ES,NES,size,leadingEdge
AUTS2_TARGET_GENES,0.959239130434783,0.986748149096829,0.0618406035753285,-0.234267531014382,-0.755323623320938,73,ENSG00000241837|ENSG00000122565|ENSG00000174444|ENSG00000233927|ENSG00000137509|ENSG00000138413|ENSG00000122642|ENSG00000197747|ENSG00000122406
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP,0.457242582897033,0.82585911399578,0.0766746872490091,0.459625890687007,1.00966255105697,14,ENSG00000166741|ENSG00000071127|ENSG00000131711|ENSG00000169504|ENSG00000163032|ENSG00000157601|ENSG00000187446|ENSG00000184867
BACH1_01,0.745200698080279,0.924179847515946,0.0529129848430584,0.330870916009434,0.798246114739446,23,ENSG00000113140|ENSG00000111674|ENSG00000104833|ENSG00000074800|ENSG00000103035
BACH2_01,0.173333333333333,0.66681124497992,0.134273452883202,0.498958445812334,1.25303135393182,26,ENSG00000167553|ENSG00000111674|ENSG00000155366|ENSG00000102172|ENSG00000104833|ENSG00000074800
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN,0.426506024096386,0.810789333004359,0.0985499803531691,-0.454713053993908,-1.01612809439085,12,ENSG00000088247|ENSG00000130726
BAELDE_DIABETIC_NEPHROPATHY_DN,0.107890499194847,0.587122275350256,0.170932335370056,0.410612095790547,1.25799046399008,76,ENSG00000025772|ENSG00000076003|ENSG00000115457|ENSG00000198087|ENSG00000081870|ENSG00000135046|ENSG00000100902|ENSG00000105835|ENSG00000125827|ENSG00000143799|ENSG00000117592|ENSG00000070087|ENSG00000137267|ENSG00000111897|ENSG00000171530|ENSG00000170348|ENSG00000082898|ENSG00000184867|ENSG00000147649|ENSG00000044574|ENSG00000113558|ENSG00000106588|ENSG00000132432|ENSG00000119318|ENSG00000166598|ENSG00000102265
BAE_BRCA1_TARGETS_UP,0.0915371329879102,0.573276635955587,0.193813302725311,0.604943107624926,1.40524154404426,18,ENSG00000189043|ENSG00000074696|ENSG00000123131|ENSG00000154229|ENSG00000167815|ENSG00000135046|ENSG00000205542|ENSG00000169567
BAKKER_FOXO3_TARGETS_DN,0.950819672131147,0.984853112384524,0.0552495663125249,-0.260411332716247,-0.644375623368655,19,ENSG00000066654|ENSG00000116350
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN,0.701421800947867,0.912798114217228,0.0704500850658419,-0.332760505170963,-0.833604651835538,21,ENSG00000128245|ENSG00000140319|ENSG00000116560
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN,0.900921658986175,0.970036370643351,0.0570059526582387,-0.299016777882792,-0.640685186142098,10,ENSG00000128245|ENSG00000099624
BANP_TARGET_GENES,0.886039886039886,0.965288412455334,0.0679922591544058,-0.238622505697346,-0.85204584103178,131,ENSG00000165417|ENSG00000115053|ENSG00000100941|ENSG00000174444|ENSG00000092201|ENSG00000198231|ENSG00000233927|ENSG00000100664|ENSG00000257727|ENSG00000173614|ENSG00000124562|ENSG00000120948|ENSG00000170515|ENSG00000110107|ENSG00000119203|ENSG00000198218|ENSG00000015479|ENSG00000035687|ENSG00000128534|ENSG00000055044|ENSG00000140718|ENSG00000101126
